=== long / layer ===
decode_ms_per_token=10.0233

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        11.71%       9.674ms        42.71%      35.292ms      16.339us       4.426ms         2.92%       4.428ms       2.050us          2160  
                                        cudaGraphLaunch        31.95%      26.397ms        31.95%      26.397ms      51.556us       0.000us         0.00%       0.000us       0.000us           512  
                                               aten::to         0.74%     610.907us        24.31%      20.089ms      29.199us       0.000us         0.00%       1.450ms       2.107us           688  
                                         aten::_to_copy         2.18%       1.800ms        23.57%      19.478ms      31.215us       0.000us         0.00%       1.450ms       2.324us           624  
                                        cudaMemcpyAsync        17.73%      14.653ms        17.73%      14.653ms       9.441us       0.000us         0.00%       0.000us       0.000us          1552  
                                            aten::clone         1.47%       1.214ms        13.15%      10.867ms      21.224us       0.000us         0.00%       1.157ms       2.259us           512  
                                       cudaLaunchKernel         8.21%       6.785ms         8.21%       6.785ms       7.853us       0.000us         0.00%       0.000us       0.000us           864  
                                    aten::empty_strided         7.14%       5.900ms         7.14%       5.900ms       5.194us       0.000us         0.00%       0.000us       0.000us          1136  
                                  cudaStreamSynchronize         3.82%       3.153ms         3.82%       3.153ms     197.062us       0.000us         0.00%       0.000us       0.000us            16  
                                Activity Buffer Request         3.04%       2.510ms         3.04%       2.510ms       1.255ms       1.504us         0.00%       1.504us       0.752us             2  
                                            aten::slice         1.91%       1.579ms         2.84%       2.345ms       2.035us       0.000us         0.00%       0.000us       0.000us          1152  
                                          aten::reshape         1.23%       1.015ms         2.40%       1.980ms       1.820us       0.000us         0.00%       0.000us       0.000us          1088  
                                           aten::matmul         0.26%     210.971us         1.73%       1.425ms      44.545us       0.000us         0.00%       2.598ms      81.187us            32  
                                        aten::expand_as         0.50%     413.117us         1.57%       1.293ms       2.526us       0.000us         0.00%       0.000us       0.000us           512  
                                       aten::as_strided         1.26%       1.044ms         1.26%       1.044ms       0.572us       0.000us         0.00%       0.000us       0.000us          1824  
                                           aten::expand         0.92%     761.626us         1.19%     987.232us       1.763us       0.000us         0.00%       0.000us       0.000us           560  
                                             aten::view         1.18%     975.275us         1.18%     975.275us       0.883us       0.000us         0.00%       0.000us       0.000us          1104  
                                           aten::linear         0.05%      38.338us         0.99%     816.637us      51.040us       0.000us         0.00%       2.563ms     160.160us            16  
                                              aten::mul         0.56%     464.751us         0.90%     742.567us      11.603us     132.352us         0.09%     132.352us       2.068us            64  
                                               aten::mm         0.46%     380.708us         0.70%     581.114us      36.320us       2.563ms         1.69%       2.563ms     160.160us            16  
