=== long / nograph ===
decode_ms_per_token=35.5224

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.32%       9.260ms        40.70%     162.745ms      31.687us       0.000us         0.00%      92.193ms      17.950us          5136  
                                           aten::matmul         4.16%      16.652ms        39.03%     156.092ms      27.559us       0.000us         0.00%     103.014ms      18.188us          5664  
                                               aten::mm        21.92%      87.665ms        33.20%     132.777ms      23.509us     102.979ms        65.66%     102.979ms      18.233us          5648  
                                       cudaLaunchKernel        27.08%     108.286ms        27.08%     108.286ms       5.765us       0.000us         0.00%       0.000us       0.000us         18784  
                                               aten::to         0.75%       3.007ms        15.30%      61.168ms      16.268us       0.000us         0.00%       8.283ms       2.203us          3760  
                                         aten::_to_copy         2.07%       8.288ms        14.54%      58.160ms      21.767us       0.000us         0.00%       8.283ms       3.100us          2672  
                                            aten::copy_         4.73%      18.932ms        11.20%      44.771ms      14.061us       9.074ms         5.79%       9.074ms       2.850us          3184  
                                              aten::mul         4.48%      17.926ms         7.39%      29.541ms      11.258us       6.733ms         4.29%       6.736ms       2.567us          2624  
                                              aten::add         4.52%      18.066ms         7.23%      28.932ms      14.017us       3.988ms         2.54%       3.988ms       1.932us          2064  
                                                aten::t         2.15%       8.582ms         4.70%      18.789ms       3.658us       0.000us         0.00%       0.000us       0.000us          5136  
                                             aten::mean         2.69%      10.752ms         3.95%      15.781ms      15.174us       4.504ms         2.87%       4.504ms       4.330us          1040  
                                              aten::pow         2.46%       9.857ms         3.88%      15.502ms      14.906us       2.122ms         1.35%       2.122ms       2.041us          1040  
                                    aten::empty_strided         3.86%      15.439ms         3.86%      15.439ms       4.849us       0.000us         0.00%       0.000us       0.000us          3184  
                                            aten::rsqrt         1.56%       6.255ms         2.76%      11.025ms      10.601us       1.914ms         1.22%       1.915ms       1.842us          1040  
                                        aten::transpose         1.61%       6.452ms         2.56%      10.234ms       1.986us       0.000us         0.00%       0.000us       0.000us          5152  
                                            aten::slice         1.54%       6.169ms         2.15%       8.608ms       1.269us       0.000us         0.00%       0.000us       0.000us          6784  
                                       aten::as_strided         2.06%       8.252ms         2.06%       8.252ms       0.480us       0.000us         0.00%       0.000us       0.000us         17184  
                                             aten::silu         1.28%       5.117ms         2.03%       8.131ms      15.880us       1.628ms         1.04%       1.628ms       3.180us           512  
                                        cudaMemcpyAsync         1.64%       6.559ms         1.64%       6.559ms      12.422us       0.000us         0.00%       0.000us       0.000us           528  
                                          aten::reshape         0.82%       3.279ms         1.47%       5.862ms       1.255us       0.000us         0.00%       0.000us       0.000us          4672  
