=== long / split ===
decode_ms_per_token=20.2362

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        10.97%      24.794ms        30.79%      69.577ms      13.298us      13.206ms         8.33%      13.206ms       2.524us          5232  
                                               aten::to         1.42%       3.216ms        25.88%      58.480ms      15.553us       0.000us         0.00%       8.152ms       2.168us          3760  
                                         aten::_to_copy         3.56%       8.047ms        24.46%      55.264ms      20.683us       0.000us         0.00%       8.152ms       3.051us          2672  
                                       cudaLaunchKernel        23.88%      53.964ms        23.88%      53.964ms       5.354us       0.000us         0.00%       0.000us       0.000us         10080  
                                              aten::add         7.34%      16.580ms        12.52%      28.284ms      13.703us       4.176ms         2.64%       4.176ms       2.023us          2064  
                                        cudaMemcpyAsync        11.18%      25.265ms        11.18%      25.265ms       9.808us       0.000us         0.00%       0.000us       0.000us          2576  
                                              aten::mul         6.19%      13.994ms        10.33%      23.346ms      11.054us       5.607ms         3.54%       5.607ms       2.655us          2112  
                                        cudaGraphLaunch         9.13%      20.637ms         9.68%      21.875ms      21.363us       0.000us         0.00%       0.000us       0.000us          1024  
                                            aten::clone         1.03%       2.317ms         9.15%      20.671ms      20.187us       0.000us         0.00%       2.341ms       2.286us          1024  
                                    aten::empty_strided         7.65%      17.291ms         7.65%      17.291ms       4.678us       0.000us         0.00%       0.000us       0.000us          3696  
                                             aten::mean         4.65%      10.509ms         6.91%      15.623ms      15.022us       4.560ms         2.88%       4.560ms       4.384us          1040  
                                              aten::pow         4.23%       9.565ms         6.74%      15.236ms      14.650us       2.107ms         1.33%       2.107ms       2.026us          1040  
                                            aten::rsqrt         2.66%       6.007ms         4.70%      10.618ms      10.210us       1.861ms         1.17%       1.861ms       1.789us          1040  
                                            aten::slice         0.75%       1.699ms         1.12%       2.540ms       2.205us       0.000us         0.00%       0.000us       0.000us          1152  
                                Activity Buffer Request         1.12%       2.529ms         1.12%       2.529ms       1.265ms       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::reshape         0.44%     987.672us         0.91%       2.060ms       1.894us       0.000us         0.00%       0.000us       0.000us          1088  
                                        aten::expand_as         0.30%     675.833us         0.79%       1.774ms       3.465us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::matmul         0.08%     184.020us         0.64%       1.442ms      45.069us       0.000us         0.00%       2.600ms      81.258us            32  
                                           aten::expand         0.42%     938.732us         0.52%       1.171ms       2.091us       0.000us         0.00%       0.000us       0.000us           560  
                                       aten::as_strided         0.50%       1.128ms         0.50%       1.128ms       0.618us       0.000us         0.00%       0.000us       0.000us          1824  
