=== short / layer ===
decode_ms_per_token=9.3546

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        12.16%       9.719ms        40.62%      32.479ms      15.036us       4.494ms         3.19%       4.496ms       2.081us          2160  
                                        cudaGraphLaunch        32.95%      26.344ms        32.95%      26.344ms      51.452us       0.000us         0.00%       0.000us       0.000us           512  
                                               aten::to         0.77%     613.185us        21.60%      17.271ms      25.104us       0.000us         0.00%       1.492ms       2.168us           688  
                                         aten::_to_copy         2.32%       1.857ms        20.84%      16.658ms      26.696us       0.000us         0.00%       1.492ms       2.390us           624  
                                        cudaMemcpyAsync        17.03%      13.617ms        17.03%      13.617ms       8.774us       0.000us         0.00%       0.000us       0.000us          1552  
                                            aten::clone         1.52%       1.216ms        13.57%      10.846ms      21.184us       0.000us         0.00%       1.159ms       2.264us           512  
                                       cudaLaunchKernel         8.59%       6.866ms         8.59%       6.866ms       7.947us       0.000us         0.00%       0.000us       0.000us           864  
                                    aten::empty_strided         7.44%       5.948ms         7.44%       5.948ms       5.236us       0.000us         0.00%       0.000us       0.000us          1136  
                                Activity Buffer Request         3.15%       2.519ms         3.15%       2.519ms       1.259ms       1.504us         0.00%       1.504us       0.752us             2  
                                            aten::slice         2.01%       1.605ms         2.97%       2.378ms       2.064us       0.000us         0.00%       0.000us       0.000us          1152  
                                          aten::reshape         1.27%       1.012ms         2.48%       1.980ms       1.819us       0.000us         0.00%       0.000us       0.000us          1088  
                                           aten::matmul         0.29%     230.421us         1.87%       1.499ms      46.846us       0.000us         0.00%       2.601ms      81.285us            32  
                                        aten::expand_as         0.54%     433.682us         1.66%       1.324ms       2.586us       0.000us         0.00%       0.000us       0.000us           512  
                                  cudaStreamSynchronize         1.62%       1.295ms         1.62%       1.295ms      80.938us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::as_strided         1.33%       1.060ms         1.33%       1.060ms       0.581us       0.000us         0.00%       0.000us       0.000us          1824  
                                           aten::expand         0.96%     770.744us         1.25%       1.001ms       1.788us       0.000us         0.00%       0.000us       0.000us           560  
                                             aten::view         1.22%     977.180us         1.22%     977.180us       0.885us       0.000us         0.00%       0.000us       0.000us          1104  
                                           aten::linear         0.05%      39.933us         1.08%     866.831us      54.177us       0.000us         0.00%       2.566ms     160.401us            16  
                                              aten::mul         0.59%     472.460us         0.96%     763.889us      11.936us     134.593us         0.10%     134.593us       2.103us            64  
                                               aten::mm         0.50%     398.919us         0.77%     613.226us      38.327us       2.566ms         1.82%       2.566ms     160.401us            16  
