=== short / nograph ===
decode_ms_per_token=36.0035

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.50%      10.388ms        40.96%     170.201ms      33.139us       0.000us         0.00%      92.003ms      17.913us          5136  
                                           aten::matmul         4.41%      18.313ms        38.87%     161.502ms      28.514us       0.000us         0.00%     102.794ms      18.149us          5664  
                                               aten::mm        21.53%      89.457ms        32.63%     135.576ms      24.004us     102.759ms        70.32%     102.759ms      18.194us          5648  
                                       cudaLaunchKernel        26.68%     110.852ms        26.68%     110.852ms       5.901us     454.463us         0.31%     454.463us       0.024us         18784  
                                               aten::to         0.81%       3.355ms        14.97%      62.196ms      16.541us       0.000us         0.00%       8.333ms       2.216us          3760  
                                         aten::_to_copy         2.13%       8.866ms        14.16%      58.841ms      22.021us       0.000us         0.00%       8.333ms       3.119us          2672  
                                            aten::copy_         4.57%      19.005ms        10.79%      44.832ms      14.080us       9.157ms         6.27%       9.158ms       2.876us          3184  
                                              aten::mul         4.36%      18.122ms         7.22%      29.985ms      11.427us       6.494ms         4.44%       6.497ms       2.476us          2624  
                                              aten::add         4.41%      18.318ms         7.10%      29.516ms      14.301us       4.105ms         2.81%       4.105ms       1.989us          2064  
                                                aten::t         2.24%       9.315ms         4.87%      20.251ms       3.943us       0.000us         0.00%       0.000us       0.000us          5136  
                                             aten::mean         2.62%      10.881ms         3.86%      16.032ms      15.416us       4.453ms         3.05%       4.453ms       4.282us          1040  
                                              aten::pow         2.45%      10.196ms         3.83%      15.911ms      15.299us       2.151ms         1.47%       2.151ms       2.068us          1040  
                                    aten::empty_strided         3.73%      15.502ms         3.73%      15.502ms       4.869us       0.000us         0.00%       0.000us       0.000us          3184  
                                            aten::rsqrt         1.48%       6.170ms         3.03%      12.605ms      12.120us       1.837ms         1.26%       1.839ms       1.768us          1040  
                                        aten::transpose         1.69%       7.003ms         2.64%      10.966ms       2.128us       0.000us         0.00%       0.000us       0.000us          5152  
                                            aten::slice         1.70%       7.078ms         2.32%       9.630ms       1.419us       0.000us         0.00%       0.000us       0.000us          6784  
                                       aten::as_strided         2.11%       8.773ms         2.11%       8.773ms       0.511us       0.000us         0.00%       0.000us       0.000us         17184  
                                             aten::silu         1.24%       5.151ms         1.98%       8.230ms      16.075us       1.619ms         1.11%       1.619ms       3.162us           512  
                                          aten::reshape         0.92%       3.834ms         1.56%       6.500ms       1.391us       0.000us         0.00%       0.000us       0.000us          4672  
                                        cudaMemcpyAsync         1.38%       5.755ms         1.38%       5.755ms      10.899us       0.000us         0.00%       0.000us       0.000us           528  
