=== short / split ===
decode_ms_per_token=20.5327

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        11.21%      25.065ms        30.59%      68.425ms      13.078us      13.384ms         9.00%      13.384ms       2.558us          5232  
                                               aten::to         1.45%       3.245ms        25.83%      57.784ms      15.368us       0.000us         0.00%       8.274ms       2.201us          3760  
                                         aten::_to_copy         3.63%       8.129ms        24.38%      54.539ms      20.411us       0.000us         0.00%       8.274ms       3.097us          2672  
                                       cudaLaunchKernel        23.82%      53.273ms        23.82%      53.273ms       5.285us       0.000us         0.00%       0.000us       0.000us         10080  
                                              aten::add         7.41%      16.584ms        12.59%      28.156ms      13.641us       4.320ms         2.91%       4.320ms       2.093us          2064  
                                        cudaMemcpyAsync        10.72%      23.975ms        10.72%      23.975ms       9.307us       0.000us         0.00%       0.000us       0.000us          2576  
                                              aten::mul         6.27%      14.018ms        10.35%      23.144ms      10.958us       5.569ms         3.75%       5.569ms       2.637us          2112  
                                        cudaGraphLaunch         8.87%      19.836ms         9.42%      21.072ms      20.578us       0.000us         0.00%       0.000us       0.000us          1024  
                                            aten::clone         1.03%       2.294ms         9.22%      20.619ms      20.135us       0.000us         0.00%       2.349ms       2.294us          1024  
                                    aten::empty_strided         7.79%      17.434ms         7.79%      17.434ms       4.717us       0.000us         0.00%       0.000us       0.000us          3696  
                                             aten::mean         4.72%      10.549ms         6.97%      15.593ms      14.993us       4.563ms         3.07%       4.563ms       4.388us          1040  
                                              aten::pow         4.22%       9.444ms         6.72%      15.034ms      14.456us       2.155ms         1.45%       2.155ms       2.072us          1040  
                                            aten::rsqrt         2.68%       6.001ms         4.70%      10.512ms      10.108us       1.991ms         1.34%       1.991ms       1.914us          1040  
                                            aten::slice         0.75%       1.685ms         1.13%       2.535ms       2.200us       0.000us         0.00%       0.000us       0.000us          1152  
                                Activity Buffer Request         1.11%       2.486ms         1.11%       2.486ms       1.243ms       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::reshape         0.44%     976.046us         0.91%       2.038ms       1.874us       0.000us         0.00%       0.000us       0.000us          1088  
                                        aten::expand_as         0.31%     689.701us         0.79%       1.778ms       3.473us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::matmul         0.08%     183.208us         0.63%       1.413ms      44.163us       0.000us         0.00%       2.597ms      81.159us            32  
                                           aten::expand         0.42%     930.593us         0.52%       1.161ms       2.072us       0.000us         0.00%       0.000us       0.000us           560  
                                       aten::as_strided         0.51%       1.136ms         0.51%       1.136ms       0.623us       0.000us         0.00%       0.000us       0.000us          1824  
