label,count_per_token,cpu_ms_per_token,self_cuda_ms_per_token
aten::linear,321.0,10.63759099999988,0.0
aten::matmul,354.0,10.093871062499975,0.0
aten::mm,353.0,8.473474624999875,6.422410375000081
cudaLaunchKernel,1174.0,6.9282281250002855,0.02840393749999407
aten::to,235.0,3.8872368125000123,0.0
aten::_to_copy,167.0,3.677545562500161,0.0
aten::copy_,199.0,2.802017124999922,0.5723194374999722
aten::mul,164.0,1.8740608749999306,0.4058773749999894
aten::add,129.0,1.8447774999999251,0.25658187500005325
aten::t,321.0,1.2656891874999832,0.0
