=== OP PROFILE: densekv / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        16.67%      66.872ms        32.50%     130.377ms     290.371us      36.178ms        69.35%      52.646ms     117.252us           0 b           0 b       1.61 Gb       1.61 Gb           449  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      21.261ms        40.75%      21.261ms     166.098us           0 b           0 b           0 b           0 b           128  
                                  Lazy Function Loading         2.26%       9.071ms         2.26%       9.071ms      20.663us      16.226ms        31.10%      16.226ms      36.962us           0 b           0 b           0 b           0 b           439  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.898ms         9.39%       4.898ms      38.262us           0 b           0 b           0 b           0 b           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.444ms         8.52%       4.444ms      69.442us           0 b           0 b           0 b           0 b            64  
                                              aten::mul         0.66%       2.651ms         3.98%      15.962ms      54.663us       3.967ms         7.60%       4.015ms      13.749us           0 b           0 b       1.60 Gb       1.60 Gb           292  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.823ms         7.33%       3.823ms      29.864us           0 b           0 b           0 b           0 b           128  
                                            aten::copy_         0.40%       1.608ms         2.96%      11.886ms      45.365us       2.984ms         5.72%       3.007ms      11.477us           0 b           0 b           0 b           0 b           262  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         5.14%       2.679ms      13.883us           0 b           0 b           0 b           0 b           193  
