=== OP PROFILE: flashsvd / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        16.37%      66.344ms        31.85%     129.066ms     309.511us      33.865ms        65.58%      50.437ms     120.952us           0 b           0 b       1.61 Gb       1.61 Gb           417  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      21.261ms        41.17%      21.261ms     166.103us           0 b           0 b           0 b           0 b           128  
                                  Lazy Function Loading         2.24%       9.068ms         2.24%       9.068ms      20.656us      16.378ms        31.72%      16.378ms      37.308us           0 b           0 b           0 b           0 b           439  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.024ms        11.67%       6.024ms      37.650us           0 b           0 b           0 b           0 b           160  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.898ms         9.49%       4.898ms      38.266us           0 b           0 b           0 b           0 b           128  
                                              aten::mul         0.67%       2.711ms         3.92%      15.880ms      54.384us       3.964ms         7.68%       4.012ms      13.739us           0 b           0 b       1.60 Gb       1.60 Gb           292  
                                              aten::cat         0.37%       1.484ms         3.11%      12.584ms     129.734us       3.249ms         6.29%       3.347ms      34.500us           0 b           0 b       1.00 Gb       1.00 Gb            97  
                                            aten::copy_         0.41%       1.679ms         2.93%      11.857ms      45.255us       3.000ms         5.81%       3.023ms      11.537us           0 b           0 b           0 b           0 b           262  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.671ms         5.17%       2.671ms      13.838us           0 b           0 b           0 b           0 b           193  
