=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        16.43%      66.678ms        32.00%     129.918ms     289.350us      36.181ms        67.73%      52.677ms     117.322us           0 b           0 b       1.60 Gb       1.60 Gb           449  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      21.242ms        39.77%      21.242ms     165.957us           0 b           0 b           0 b           0 b           128  
                                  Lazy Function Loading         2.27%       9.208ms         2.27%       9.208ms      20.881us      16.333ms        30.58%      16.333ms      37.036us           0 b           0 b           0 b           0 b           441  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.904ms         9.18%       4.904ms      38.311us           0 b           0 b           0 b           0 b           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.434ms         8.30%       4.434ms      69.284us           0 b           0 b           0 b           0 b            64  
                                              aten::mul         0.58%       2.337ms         2.39%       9.715ms      33.272us       3.947ms         7.39%       3.995ms      13.680us           0 b           0 b       1.60 Gb       1.60 Gb           292  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.819ms         7.15%       3.819ms      29.835us           0 b           0 b           0 b           0 b           128  
                     aten::_efficient_attention_forward         0.08%     313.490us         0.38%       1.546ms      48.309us       3.742ms         7.00%       4.092ms     127.861us         512 b          24 b     128.00 Mb           0 b            32  
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us       3.742ms         7.00%       3.742ms     116.929us           0 b           0 b           0 b           0 b            32  
