pair_type,config,run,svd_prefill_s,svd_decode_ms,svd_total_s,flashsvd_prefill_s,flashsvd_decode_ms,flashsvd_total_s,decode_speedup,total_speedup
densekv_vs_flashsvd,long,1,0.544000,31.979000,4.637000,0.146000,10.158000,1.446000,3.148159,3.206777
densekv_vs_flashsvd,long,2,0.532000,32.771000,4.727000,0.147000,10.189000,1.451000,3.216312,3.257753
densekv_vs_flashsvd,long,3,0.553000,34.329000,4.947000,0.147000,10.098000,1.440000,3.399584,3.435417
densekv_vs_flashsvd,long,4,0.584000,42.696000,6.049000,0.147000,10.216000,1.455000,4.179327,4.157388
densekv_vs_flashsvd,long,5,0.541000,32.713000,4.728000,0.146000,10.443000,1.483000,3.132529,3.188132
densekv_vs_flashsvd,short,1,0.413000,32.495000,1.453000,0.077000,10.263000,0.405000,3.166228,3.587654
densekv_vs_flashsvd,short,2,0.405000,32.353000,1.440000,0.066000,9.754000,0.378000,3.316896,3.809524
densekv_vs_flashsvd,short,3,0.487000,32.937000,1.541000,0.056000,10.022000,0.377000,3.286470,4.087533
densekv_vs_flashsvd,short,4,0.428000,32.794000,1.477000,0.097000,9.688000,0.407000,3.385012,3.628993
densekv_vs_flashsvd,short,5,0.424000,36.779000,1.601000,0.060000,10.209000,0.387000,3.602606,4.136951
static_vs_flashsvd,long,1,0.581000,30.001000,4.421000,0.152000,10.212000,1.459000,2.937818,3.030158
static_vs_flashsvd,long,2,0.572000,29.538000,4.353000,0.167000,10.054000,1.454000,2.937935,2.993810
static_vs_flashsvd,long,3,0.554000,30.056000,4.401000,0.147000,10.097000,1.439000,2.976726,3.058374
static_vs_flashsvd,long,4,0.578000,29.504000,4.355000,0.148000,10.200000,1.454000,2.892549,2.995186
static_vs_flashsvd,long,5,0.582000,30.079000,4.432000,0.153000,10.092000,1.445000,2.980480,3.067128
static_vs_flashsvd,short,1,0.454000,30.733000,1.437000,0.099000,9.752000,0.411000,3.151456,3.496350
static_vs_flashsvd,short,2,0.452000,29.814000,1.406000,0.058000,9.847000,0.373000,3.027724,3.769437
static_vs_flashsvd,short,3,0.444000,29.670000,1.393000,0.061000,9.980000,0.380000,2.972946,3.665789
static_vs_flashsvd,short,4,0.488000,29.874000,1.444000,0.133000,10.053000,0.455000,2.971650,3.173626
static_vs_flashsvd,short,5,0.427000,28.985000,1.355000,0.079000,10.021000,0.400000,2.892426,3.387500
