study,ratio,mode,mode_label,config,run_idx,prompt_len,new_tokens,batch_size,prefill_time_s,decode_time_s,prefill_tok_s,decode_tok_s,decode_ms_per_token,total_time_s
stage,0.8,static,StaticCache,ctx4096,1,4096,128,1,0.6603325949981809,3.791793735930696,6202.9347498911275,33.75711046386398,29.623388561958564,4.452126330928877
stage,0.8,static,StaticCache,ctx4096,2,4096,128,1,0.6602323008701205,3.8362198541872203,6203.877021166458,33.36617943319605,29.97046761083766,4.496452155057341
stage,0.8,static,StaticCache,ctx4096,3,4096,128,1,0.6603522310033441,3.7899325790349394,6202.7503015724005,33.773687877211174,29.608848273710464,4.4502848100382835
stage,0.8,static,StaticCache,ctx4096,4,4096,128,1,0.6602151391562074,3.79077679105103,6204.038285512388,33.766166423244016,29.615443680086173,4.450991930207238
stage,0.8,static,StaticCache,ctx4096,5,4096,128,1,0.6602789969183505,3.786447683116421,6203.43827248303,33.80477183687115,29.58162252434704,4.446726680034772
stage,0.8,static,StaticCache,ctx8192,1,8192,128,1,1.5361053890082985,4.407899521989748,5332.9674243827185,29.038774446069986,34.436715015544905,5.944004910998046
stage,0.8,static,StaticCache,ctx8192,2,8192,128,1,1.5362985259853303,4.405505029018968,5332.296986190185,29.054557685638017,34.41800803921069,5.941803555004299
stage,0.8,static,StaticCache,ctx8192,3,8192,128,1,1.5361214899457991,4.420736605068669,5332.911526606563,28.95445067983455,34.537004727098974,5.956858095014468
stage,0.8,static,StaticCache,ctx8192,4,8192,128,1,1.5361156000290066,4.404174685012549,5332.931974550164,29.0633340306835,34.40761472666054,5.940290285041556
stage,0.8,static,StaticCache,ctx8192,5,8192,128,1,1.5361622360069305,4.404579434078187,5332.770073357696,29.060663320013095,34.410776828735834,5.940741670085117
decode_sweep,0.8,static,StaticCache,tok64,1,512,64,1,0.08832188602536917,1.8909482369199395,5796.977657983159,33.845453170228524,29.546066201874055,1.9792701229453087
decode_sweep,0.8,static,StaticCache,tok64,2,512,64,1,0.0882898059207946,1.8940212149173021,5799.083990051114,33.79054019877724,29.594081483082846,1.9823110208380967
decode_sweep,0.8,static,StaticCache,tok128,1,512,128,1,0.08886167197488248,3.789480439852923,5761.76419620735,33.77771756092451,29.605315936350962,3.8783421118278056
decode_sweep,0.8,static,StaticCache,tok128,2,512,128,1,0.08885144395753741,3.8287867680191994,5762.427454129925,33.43095548416243,29.912396625149995,3.917638211976737
decode_sweep,0.8,static,StaticCache,tok256,1,512,256,1,0.08949539298191667,7.57861961890012,5720.964878085447,33.77923855177641,29.603982886328595,7.668115011882037
decode_sweep,0.8,static,StaticCache,tok256,2,512,256,1,0.08949661604128778,7.579842061037198,5720.886695467874,33.77379079122526,29.608758050926554,7.6693386770784855
decode_sweep,0.8,static,StaticCache,tok512,1,512,512,1,0.09080517408438027,15.147398167056963,5638.445222562169,33.801184490780315,29.58476204503313,15.238203341141343
decode_sweep,0.8,static,StaticCache,tok512,2,512,512,1,0.0907974501606077,15.174781020032242,5638.924871726522,33.74019034107368,29.638244179750473,15.26557847019285
decode_sweep,0.8,static,StaticCache,tok1024,1,512,1024,1,0.09319881699047983,30.381994194118306,5493.631963722247,33.70417338168795,29.66991620519366,30.475193011108786
decode_sweep,0.8,static,StaticCache,tok1024,2,512,1024,1,0.09321719105355442,30.314413002924994,5492.549112597158,33.77931150773712,29.60391894816894,30.407630193978548
decode_sweep,0.8,static,StaticCache,tok2048,1,512,2048,1,0.09824768709950149,60.79248775891028,5211.318608258594,33.688372947031226,29.683831913530412,60.890735446009785
decode_sweep,0.8,static,StaticCache,tok2048,2,512,2048,1,0.0982578459661454,60.751230861991644,5210.779810666813,33.71125112925587,29.663686944331857,60.84948870795779
decode_sweep,0.8,static,StaticCache,tok4096,1,512,4096,1,0.10790460207499564,121.64175925194286,4744.932006182191,33.672646837640826,29.697695129868862,121.74966385401785
decode_sweep,0.8,static,StaticCache,tok4096,2,512,4096,1,0.10809773998335004,121.52229153597727,4736.454250374353,33.70575018154064,29.6685282070257,121.63038927596062
decode_sweep,0.8,static,StaticCache,tok8192,1,512,8192,1,0.12772639212198555,287.6492350110784,4008.568562016631,28.479130145034095,35.11343200818828,287.7769614032004
decode_sweep,0.8,static,StaticCache,tok8192,2,512,8192,1,0.12771072587929666,287.6180207079742,4009.0602921160043,28.48222089782595,35.10962166845388,287.7457314338535
decode_sweep,0.8,static,StaticCache,tok16384,1,512,16384,1,0.1669921309221536,803.2672542100772,3066.012734687948,20.3966985011879,49.027542371220534,803.4342463409994
decode_sweep,0.8,static,StaticCache,tok16384,2,512,16384,1,0.16695714090019464,803.3052697479725,3066.6552939240173,20.39573324987683,49.0298626555159,803.4722268888727
stage,0.8,densekv,DenseKVCacheBaseline,ctx4096,1,4096,128,1,0.5748607460409403,3.330925539135933,7125.203848426088,38.427757839703666,26.022855774499476,3.905786285176873
stage,0.8,densekv,DenseKVCacheBaseline,ctx4096,2,4096,128,1,0.5749461748637259,3.263819115003571,7124.145144492589,39.2178596575993,25.498586835965398,3.838765289867297
stage,0.8,densekv,DenseKVCacheBaseline,ctx4096,3,4096,128,1,0.5751765400636941,3.2650747469160706,7121.291837713714,39.202777860108284,25.5083964602818,3.8402512869797647
stage,0.8,densekv,DenseKVCacheBaseline,ctx4096,4,4096,128,1,0.5750262520741671,3.261811956996098,7123.153047752846,39.24199239182356,25.482905914032017,3.8368382090702653
stage,0.8,densekv,DenseKVCacheBaseline,ctx4096,5,4096,128,1,0.5750860830303282,3.257892585126683,7122.411967294974,39.28920203949042,25.452285821302212,3.8329786681570113
stage,0.8,densekv,DenseKVCacheBaseline,ctx8192,1,8192,128,1,1.1823066668584943,3.310529361013323,6928.828390832773,38.66451133386727,25.863510632916586,4.492836027871817
stage,0.8,densekv,DenseKVCacheBaseline,ctx8192,2,8192,128,1,1.182261724025011,3.268841147888452,6929.091785286196,39.15760791333748,25.53782146787853,4.451102871913463
stage,0.8,densekv,DenseKVCacheBaseline,ctx8192,3,8192,128,1,1.1820575369056314,3.264264210825786,6930.288707811015,39.21251214147854,25.502064147076453,4.446321747731417
stage,0.8,densekv,DenseKVCacheBaseline,ctx8192,4,8192,128,1,1.1825900611001998,3.262465186882764,6927.167976009143,39.23413513028228,25.488009272521595,4.445055247982964
stage,0.8,densekv,DenseKVCacheBaseline,ctx8192,5,8192,128,1,1.1822636381257325,3.270269548986107,6929.080566993459,39.1405045005187,25.548980851453962,4.45253318711184
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok64,1,512,64,1,0.08706352091394365,1.6410491231363267,5880.7637759800355,38.999441940948735,25.641392549005104,1.7281126440502703
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok64,2,512,64,1,0.08709335699677467,1.63180117495358,5878.74916819386,39.220464467321285,25.496893358649686,1.7188945319503546
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok128,1,512,128,1,0.08703569113276899,3.266534046968445,5882.644158233515,39.18526430752873,25.519797241940978,3.353569738101214
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok128,2,512,128,1,0.08700107596814632,3.3089607460424304,5884.984689010725,38.68284027034471,25.851255828456488,3.3959618220105767
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok256,1,512,256,1,0.08708624402061105,6.542642868123949,5879.229329018059,39.12791897097785,25.557198703609174,6.62972911214456
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok256,2,512,256,1,0.08710055006667972,6.536729542072862,5878.263680402008,39.1633152866869,25.53409977372212,6.623830092139542
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok512,1,512,512,1,0.08725652913562953,13.118840431096032,5867.75574357489,39.027839593687645,25.622735216984438,13.206096960231662
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok512,2,512,512,1,0.08727408177219331,13.146640245104209,5866.575615615701,38.945311536205466,25.677031728719157,13.233914326876402
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok1024,1,512,1024,1,0.0874504370149225,26.13974379003048,5854.744898674807,39.174064146357345,25.52709354495164,26.227194227045402
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok1024,2,512,1024,1,0.0874660259578377,26.13053653202951,5853.701415985282,39.18786737290418,25.518102082060068,26.218002557987347
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok2048,1,512,2048,1,0.08768531191162765,52.184032805031165,5839.062310869255,39.24572115098295,25.480484768081624,52.27171811694279
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok2048,2,512,2048,1,0.08768322807736695,52.20053425501101,5839.201079004971,39.23331493112835,25.488542116704593,52.288217483088374
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok4096,1,512,4096,1,0.08834584197029471,104.51341864583082,5795.405743851014,39.19113978923887,25.51597134907979,104.60176448780112
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok4096,2,512,4096,1,0.08832555497065187,104.76465058280155,5796.736857980948,39.09715707745042,25.577307271191785,104.8529761377722
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok8192,1,512,8192,1,0.0893935989588499,209.2512602689676,5727.479438831927,39.14910710439764,25.54336673205171,209.34065386792645
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok8192,2,512,8192,1,0.08938697702251375,210.77851805998944,5727.903740060965,38.86544072612032,25.729799567869804,210.86790503701195
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok16384,1,512,16384,1,0.09150242805480957,422.39952079812065,5595.47993298401,38.78792279177438,25.78122075183842,422.49102322617546
decode_sweep,0.8,densekv,DenseKVCacheBaseline,tok16384,2,512,16384,1,0.09151462092995644,421.96610078797676,5594.734423823655,38.82776357959709,25.75476689379741,422.0576154089067
stage,0.8,flashsvd,FlashSVD-v1.5,ctx4096,1,4096,128,1,0.5593482260592282,2.3977508840616792,7322.808599675944,53.38336056962428,18.73242878173187,2.9570991101209074
stage,0.8,flashsvd,FlashSVD-v1.5,ctx4096,2,4096,128,1,0.5592610749881715,2.3900427587796003,7323.9497315035405,53.555527209629986,18.672209052965627,2.9493038337677717
stage,0.8,flashsvd,FlashSVD-v1.5,ctx4096,3,4096,128,1,0.5590636811684817,2.399459521053359,7326.535666632963,53.34534668199287,18.745777508229367,2.9585232022218406
stage,0.8,flashsvd,FlashSVD-v1.5,ctx4096,4,4096,128,1,0.5593719910830259,2.3953466000966728,7322.497488781205,53.43694311079411,18.713645313255256,2.9547185911796987
stage,0.8,flashsvd,FlashSVD-v1.5,ctx4096,5,4096,128,1,0.559273038059473,2.3904074740130454,7323.793069324453,53.547356001657754,18.675058390726917,2.9496805120725185
stage,0.8,flashsvd,FlashSVD-v1.5,ctx8192,1,8192,128,1,14.407436804147437,2.538387719076127,568.5952408718383,50.42570882220741,19.83115405528224,16.945824523223564
stage,0.8,flashsvd,FlashSVD-v1.5,ctx8192,2,8192,128,1,1.1503596338443458,2.539673544932157,7121.251266982872,50.400178501453546,19.841199569782475,3.6900331787765026
stage,0.8,flashsvd,FlashSVD-v1.5,ctx8192,3,8192,128,1,1.1498419980052859,2.5384937848430127,7124.457111682523,50.423601887178094,19.831982694086037,3.6883357828482985
stage,0.8,flashsvd,FlashSVD-v1.5,ctx8192,4,8192,128,1,1.1500118121039122,2.543191527016461,7123.405093564196,50.33046022694283,19.8686838048161,3.693203339120373
stage,0.8,flashsvd,FlashSVD-v1.5,ctx8192,5,8192,128,1,1.150091489078477,2.5386387340258807,7122.9115925063725,50.42072284031221,19.833115109577193,3.6887302231043577
decode_sweep,0.8,flashsvd,FlashSVD-v1.5,tok64,1,512,64,1,0.08429760509170592,1.1186883591581136,6073.719406891856,57.209856056930995,17.479505611845525,1.2029859642498195
decode_sweep,0.8,flashsvd,FlashSVD-v1.5,tok64,2,512,64,1,0.08412965410389006,1.1220692771021277,6085.844586591801,57.03747647853555,17.532332454720745,1.2061989312060177
decode_sweep,0.8,flashsvd,FlashSVD-v1.5,tok128,1,512,128,1,0.08426705794408917,2.2393708338495344,6075.921154619042,57.158911809155256,17.495084639449487,2.3236378917936236
decode_sweep,0.8,flashsvd,FlashSVD-v1.5,tok128,2,512,128,1,0.08450033911503851,2.238122286973521,6059.147281089188,57.19079817264442,17.485330366980634,2.3226226260885596
decode_sweep,0.8,flashsvd,FlashSVD-v1.5,tok256,1,512,256,1,0.08430305495858192,4.527538032038137,6073.326764392412,56.542871244475855,17.685695437648974,4.611841086996719
