=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.37%     751.138us        30.55%      16.715ms      40.085us       0.000us         0.00%      33.591ms      80.554us           417  
                                           aten::matmul         3.24%       1.772ms        26.38%      14.431ms      34.523us       0.000us         0.00%      33.591ms      80.362us           418  
                                       cudaLaunchKernel        21.74%      11.892ms        21.74%      11.892ms       6.922us       0.000us         0.00%       0.000us       0.000us          1718  
                                               aten::mm        13.20%       7.219ms        20.22%      11.062ms      26.527us      33.591ms        66.67%      33.591ms      80.554us           417  
                                              aten::cat         2.89%       1.583ms        18.53%      10.136ms     104.492us       3.579ms         7.10%       3.579ms      36.894us            97  
                                             cudaMalloc        15.89%       8.695ms        15.89%       8.695ms     235.005us       0.000us         0.00%       0.000us       0.000us            37  
                                              aten::mul         4.79%       2.619ms         8.61%       4.709ms      16.126us       3.617ms         7.18%       3.617ms      12.386us           292  
                                            aten::copy_         3.02%       1.652ms         6.11%       3.341ms      12.705us       2.736ms         5.43%       2.736ms      10.405us           263  
                                               aten::to         0.34%     183.391us         5.58%       3.054ms       8.414us       0.000us         0.00%       1.202ms       3.310us           363  
                                        aten::embedding         0.05%      26.449us         5.26%       2.880ms       2.880ms       0.000us         0.00%       0.000us       0.000us             1  
                                         aten::_to_copy         0.92%     504.662us         5.25%       2.871ms      21.266us       0.000us         0.00%       1.202ms       8.901us           135  
                                     aten::index_select         0.09%      51.305us         5.19%       2.839ms       2.839ms       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::add         3.15%       1.723ms         5.01%       2.743ms      14.213us       1.423ms         2.82%       1.423ms       7.374us           193  
                                       aten::contiguous         0.19%     103.775us         4.97%       2.718ms      21.237us       0.000us         0.00%       1.535ms      11.991us           128  
                                            aten::clone         0.64%     347.709us         4.78%       2.615ms      20.426us       0.000us         0.00%       1.535ms      11.991us           128  
                     aten::scaled_dot_product_attention         0.56%     304.149us         3.52%       1.927ms      60.227us       0.000us         0.00%       1.523ms      47.604us            32  
                                                aten::t         1.55%     846.878us         3.14%       1.721ms       4.126us       0.000us         0.00%       0.000us       0.000us           417  
                                        aten::transpose         2.07%       1.132ms         3.14%       1.719ms       2.144us       0.000us         0.00%       0.000us       0.000us           802  
              aten::_scaled_dot_product_flash_attention         0.39%     214.313us         2.97%       1.623ms      50.722us       0.000us         0.00%       1.523ms      47.604us            32  
                                Activity Buffer Request         2.87%       1.571ms         2.87%       1.571ms       1.571ms       0.000us         0.00%       0.000us       0.000us             1  
                         aten::_flash_attention_forward         0.60%     326.514us         2.24%       1.226ms      38.300us       1.523ms         3.02%       1.523ms      47.604us            32  
