=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        56.12%      71.512ms        56.12%      71.512ms      71.512ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.57%     729.759us        17.49%      22.293ms      53.460us       0.000us         0.00%     131.359ms     315.011us           417  
                                           aten::matmul         1.49%       1.903ms        15.62%      19.903ms      47.616us       0.000us         0.00%     131.359ms     314.257us           418  
                                               aten::mm         6.50%       8.283ms        12.94%      16.493ms      39.551us     125.617ms        88.91%     131.359ms     315.011us           417  
                                       cudaLaunchKernel         5.72%       7.293ms        12.19%      15.536ms      11.932us       0.000us         0.00%     461.760us       0.355us          1302  
                                    Command Buffer Full         9.38%      11.952ms         9.38%      11.952ms     217.309us       6.204ms         4.39%       6.204ms     112.803us            55  
                                              aten::add         1.37%       1.750ms         5.17%       6.592ms      34.154us       1.222ms         0.87%       1.330ms       6.892us           193  
                                        cudaMemsetAsync         1.42%       1.815ms         4.30%       5.486ms      14.285us       0.000us         0.00%       4.865ms      12.669us           384  
                                              aten::mul         2.02%       2.577ms         3.12%       3.979ms      13.625us       3.233ms         2.29%       3.233ms      11.073us           292  
                     aten::scaled_dot_product_attention         0.23%     289.870us         2.97%       3.787ms     118.331us       0.000us         0.00%       1.506ms      47.070us            32  
              aten::_scaled_dot_product_flash_attention         0.15%     196.214us         2.74%       3.497ms     109.272us       0.000us         0.00%       1.506ms      47.070us            32  
                                            aten::copy_         1.27%       1.616ms         2.66%       3.387ms      12.878us       2.390ms         1.69%       2.429ms       9.236us           263  
                         aten::_flash_attention_forward         0.26%     325.091us         2.45%       3.121ms      97.534us       1.336ms         0.95%       1.506ms      47.070us            32  
                                               aten::to         0.14%     182.934us         2.33%       2.975ms       8.196us       0.000us         0.00%       1.035ms       2.851us           363  
                                         aten::_to_copy         0.38%     483.556us         2.19%       2.792ms      20.682us       0.000us         0.00%       1.035ms       7.665us           135  
                                       aten::contiguous         0.08%     101.630us         2.19%       2.784ms      21.753us       0.000us         0.00%       1.394ms      10.892us           128  
                                            aten::clone         0.23%     297.581us         2.11%       2.683ms      20.959us       0.000us         0.00%       1.394ms      10.892us           128  
                                              aten::pow         0.55%     705.823us         2.03%       2.592ms      39.878us     451.291us         0.32%     522.490us       8.038us            65  
                                         cuLaunchKernel         1.96%       2.494ms         1.99%       2.534ms       6.091us       0.000us         0.00%     877.691us       2.110us           416  
                                              aten::cat         1.01%       1.291ms         1.47%       1.878ms      19.358us       4.028ms         2.85%       4.028ms      41.524us            97  
