=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        53.26%      74.627ms        53.26%      74.627ms      74.627ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.53%     741.565us        18.36%      25.730ms      61.702us       0.000us         0.00%     145.786ms     349.607us           417  
                                           aten::matmul         1.39%       1.947ms        16.59%      23.242ms      55.604us       0.000us         0.00%     145.786ms     348.771us           418  
                                       cudaLaunchKernel         6.03%       8.447ms        14.69%      20.578ms      15.805us       0.000us         0.00%     707.899us       0.544us          1302  
                                               aten::mm         6.39%       8.952ms        14.06%      19.705ms      47.255us     136.669ms        88.92%     145.786ms     349.607us           417  
                                    Command Buffer Full        12.76%      17.883ms        12.76%      17.883ms     220.775us       9.825ms         6.39%       9.825ms     121.301us            81  
                                              aten::add         1.28%       1.797ms         6.09%       8.538ms      44.236us       1.334ms         0.87%       1.498ms       7.762us           193  
                                        cudaMemsetAsync         1.47%       2.060ms         5.52%       7.741ms      20.158us       0.000us         0.00%       7.496ms      19.522us           384  
                     aten::scaled_dot_product_attention         0.22%     306.565us         3.57%       5.006ms     156.442us       0.000us         0.00%       1.729ms      54.036us            32  
              aten::_scaled_dot_product_flash_attention         0.15%     205.080us         3.35%       4.700ms     146.862us       0.000us         0.00%       1.729ms      54.036us            32  
                         aten::_flash_attention_forward         0.25%     343.990us         3.07%       4.305ms     134.528us       1.460ms         0.95%       1.729ms      54.036us            32  
                                              aten::mul         1.89%       2.654ms         3.04%       4.256ms      14.574us       3.522ms         2.29%       3.522ms      12.062us           292  
                                            aten::copy_         1.18%       1.651ms         2.63%       3.690ms      14.029us       2.604ms         1.69%       2.666ms      10.138us           263  
                                              aten::pow         0.52%     725.341us         2.40%       3.364ms      51.752us     492.286us         0.32%     596.638us       9.179us            65  
                                               aten::to         0.13%     186.981us         2.24%       3.133ms       8.630us       0.000us         0.00%       1.136ms       3.129us           363  
                                       aten::contiguous         0.08%     118.045us         2.17%       3.042ms      23.762us       0.000us         0.00%       1.530ms      11.957us           128  
                                         aten::_to_copy         0.36%     505.709us         2.10%       2.946ms      21.819us       0.000us         0.00%       1.136ms       8.413us           135  
                                            aten::clone         0.22%     313.680us         2.09%       2.923ms      22.840us       0.000us         0.00%       1.530ms      11.957us           128  
                                         cuLaunchKernel         1.95%       2.731ms         2.00%       2.801ms       6.734us       0.000us         0.00%       1.621ms       3.897us           416  
                                              aten::cat         0.96%       1.341ms         1.42%       1.991ms      20.528us       4.343ms         2.83%       4.343ms      44.769us            97  
