=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        55.17%      75.453ms        55.17%      75.453ms      75.453ms       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         5.43%       7.428ms        17.12%      23.409ms      17.979us       0.000us         0.00%       1.175ms       0.903us          1302  
                                           aten::linear         0.53%     728.576us        14.61%      19.984ms      47.924us       0.000us         0.00%     135.149ms     324.098us           417  
                                           aten::matmul         1.39%       1.898ms        12.89%      17.630ms      42.177us       0.000us         0.00%     135.149ms     323.323us           418  
                                    Command Buffer Full        11.73%      16.043ms        11.73%      16.043ms     232.505us       3.044ms         2.02%       3.044ms      44.118us            69  
                                               aten::mm         6.85%       9.370ms        10.39%      14.204ms      34.061us     132.579ms        87.79%     135.149ms     324.098us           417  
                                              aten::mul         1.89%       2.589ms         7.24%       9.904ms      33.919us       3.904ms         2.58%       4.250ms      14.553us           292  
                                              aten::add         1.27%       1.738ms         5.61%       7.671ms      39.744us       1.499ms         0.99%       1.624ms       8.417us           193  
                                              aten::cat         0.94%       1.292ms         3.39%       4.639ms      47.829us       4.256ms         2.82%       4.370ms      45.046us            97  
                                            aten::copy_         1.18%       1.615ms         2.33%       3.192ms      12.136us       2.915ms         1.93%       2.915ms      11.082us           263  
                                               aten::to         0.13%     183.073us         2.16%       2.953ms       8.134us       0.000us         0.00%       1.246ms       3.431us           363  
                                         aten::_to_copy         0.35%     478.903us         2.03%       2.770ms      20.515us       0.000us         0.00%       1.246ms       9.227us           135  
                                       aten::contiguous         0.07%     101.897us         1.90%       2.598ms      20.293us       0.000us         0.00%       1.669ms      13.039us           128  
                                            aten::clone         0.22%     299.936us         1.82%       2.496ms      19.497us       0.000us         0.00%       1.669ms      13.039us           128  
                                         cuLaunchKernel         1.82%       2.485ms         1.82%       2.494ms       5.994us       0.000us         0.00%     934.363us       2.246us           416  
                                              aten::pow         0.50%     687.972us         1.63%       2.231ms      34.317us     544.958us         0.36%     595.294us       9.158us            65  
                                        cudaMemsetAsync         1.41%       1.924ms         1.45%       1.977ms       4.753us       0.000us         0.00%     934.363us       2.246us           416  
                                            aten::zero_         0.08%     109.332us         1.37%       1.868ms      29.182us       0.000us         0.00%     319.641us       4.994us            64  
                                            aten::zeros         0.06%      82.586us         1.32%       1.812ms      56.626us       0.000us         0.00%     172.187us       5.381us            32  
                     aten::scaled_dot_product_attention         0.21%     285.279us         1.32%       1.805ms      56.415us       0.000us         0.00%       1.665ms      52.028us            32  
                                            aten::fill_         0.18%     250.764us         1.29%       1.758ms      27.474us     292.123us         0.19%     319.641us       4.994us            64  
