=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        51.87%      87.659ms        51.87%      87.659ms      87.659ms       0.000us         0.00%       0.000us       0.000us             1  
                                    Command Buffer Full        21.38%      36.131ms        21.38%      36.131ms     258.080us      21.859ms        12.30%      21.859ms     156.138us           140  
                                           aten::linear         0.48%     803.503us        21.16%      35.761ms      79.645us       0.000us         0.00%     181.881ms     405.081us           449  
                                           aten::matmul         1.22%       2.057ms        19.69%      33.284ms      73.964us       0.000us         0.00%     181.881ms     404.181us           450  
                                               aten::mm         5.35%       9.047ms        17.68%      29.880ms      66.547us     160.843ms        90.50%     181.881ms     405.081us           449  
                                       cudaLaunchKernel         4.30%       7.263ms        16.24%      27.449ms      21.445us       0.000us         0.00%     820.997us       0.641us          1280  
                                         cuLaunchKernel         1.56%       2.633ms        10.99%      18.578ms      41.468us       0.000us         0.00%      21.038ms      46.961us           448  
                                              aten::mul         1.54%       2.610ms         8.95%      15.120ms      51.781us       3.883ms         2.18%       4.244ms      14.533us           292  
                     aten::scaled_dot_product_attention         0.30%     508.460us         5.37%       9.071ms     283.455us       0.000us         0.00%       4.361ms     136.296us            32  
                                            aten::fill_         0.24%     399.591us         3.07%       5.184ms      52.897us     190.434us         0.11%     231.044us       2.358us            98  
                                            aten::copy_         0.77%       1.297ms         2.61%       4.403ms      21.907us       1.914ms         1.08%       2.096ms      10.425us           201  
                                            aten::where         0.28%     466.250us         2.29%       3.862ms      60.351us     227.166us         0.13%     522.272us       8.160us            64  
                                              aten::pad         0.03%      51.697us         2.06%       3.479ms     105.431us       0.000us         0.00%     300.768us       9.114us            33  
                                  aten::constant_pad_nd         0.10%     170.976us         2.03%       3.428ms     103.865us       0.000us         0.00%     300.768us       9.114us            33  
                                              aten::add         1.05%       1.781ms         1.88%       3.171ms      16.431us       1.493ms         0.84%       1.513ms       7.839us           193  
                                               aten::to         0.10%     169.844us         1.77%       2.988ms       9.992us       0.000us         0.00%       1.250ms       4.180us           299  
                                      aten::index_copy_         0.33%     559.424us         1.74%       2.948ms      46.066us       1.137ms         0.64%       1.286ms      20.095us            64  
                                    aten::scalar_tensor         0.08%     131.344us         1.74%       2.934ms      45.847us       0.000us         0.00%     122.278us       1.911us            64  
                                         aten::_to_copy         0.28%     466.312us         1.67%       2.818ms      20.872us       0.000us         0.00%       1.250ms       9.257us           135  
                                       aten::contiguous         0.02%      36.669us         1.63%       2.746ms      83.224us       0.000us         0.00%     653.789us      19.812us            33  
                                            aten::clone         0.06%      96.188us         1.60%       2.710ms      82.113us       0.000us         0.00%     653.789us      19.812us            33  
