=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        49.41%      43.902ms        49.41%      43.902ms      43.902ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.85%     753.619us        21.28%      18.908ms      42.110us       0.000us         0.00%      82.326ms     183.354us           449  
                                           aten::matmul         2.20%       1.956ms        18.52%      16.455ms      36.566us       0.000us         0.00%      82.326ms     182.946us           450  
                                               aten::mm         9.51%       8.448ms        14.80%      13.146ms      29.279us      82.326ms        84.51%      82.326ms     183.354us           449  
                                       cudaLaunchKernel         8.92%       7.926ms         8.92%       7.926ms       6.241us       0.000us         0.00%       0.000us       0.000us          1270  
                                              aten::mul         2.81%       2.499ms         4.40%       3.909ms      13.387us       3.752ms         3.85%       3.752ms      12.850us           292  
                                            aten::copy_         1.80%       1.597ms         3.56%       3.161ms      12.019us       2.839ms         2.91%       2.839ms      10.797us           263  
                                               aten::to         0.19%     170.889us         3.27%       2.904ms       9.712us       0.000us         0.00%       1.252ms       4.187us           299  
                                         aten::_to_copy         0.52%     463.990us         3.08%       2.733ms      20.244us       0.000us         0.00%       1.252ms       9.273us           135  
                                         cuLaunchKernel         3.06%       2.718ms         3.06%       2.718ms       6.068us       0.000us         0.00%       0.000us       0.000us           448  
                                              aten::add         1.94%       1.726ms         3.05%       2.708ms      14.032us       1.449ms         1.49%       1.449ms       7.507us           193  
                                       aten::contiguous         0.12%     102.915us         2.87%       2.546ms      19.892us       0.000us         0.00%       1.588ms      12.403us           128  
                                        aten::embedding         0.02%      15.569us         2.78%       2.474ms       2.474ms       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::index_select         0.04%      38.562us         2.75%       2.446ms       2.446ms       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::clone         0.32%     280.056us         2.75%       2.443ms      19.088us       0.000us         0.00%       1.588ms      12.403us           128  
                     aten::scaled_dot_product_attention         0.35%     307.998us         2.07%       1.841ms      57.523us       0.000us         0.00%       1.587ms      49.598us            32  
                                                aten::t         1.02%     902.446us         2.02%       1.794ms       3.995us       0.000us         0.00%       0.000us       0.000us           449  
                                        cudaMemsetAsync         2.01%       1.787ms         2.01%       1.787ms       4.654us       0.000us         0.00%       0.000us       0.000us           384  
                                        aten::transpose         1.31%       1.162ms         1.97%       1.749ms       2.097us       0.000us         0.00%       0.000us       0.000us           834  
              aten::_scaled_dot_product_flash_attention         0.23%     202.988us         1.73%       1.533ms      47.898us       0.000us         0.00%       1.587ms      49.598us            32  
