ratio,mode,module_total_forward_ms,decode_ms_per_token,cudaLaunchKernel_per_token,cudaGraphLaunch_per_token,copy_per_token,to_copy_per_token,launch_cpu_ms_per_token,copy_clone_cpu_ms_per_token
0.5,StaticCache,44.088,111.37638092041016,1627.0,0.0,167.0,434.0,9.15387075000053,2.549777500000105
0.5,DenseKVCacheBaseline,38.459,84.663818359375,1174.0,0.0,199.0,402.0,7.377407250000005,2.972888250000121
0.5,FlashSVD-v1.5,11.562,410.46630859375,332.0,32.0,183.0,172.0,3.9487198124980725,5.506924187501749
0.6,StaticCache,43.874,96.22584533691406,1659.0,0.0,167.0,434.0,9.431235312499913,2.255096999999985
0.6,DenseKVCacheBaseline,37.641,72.83856201171875,1206.0,0.0,199.0,402.0,6.940884687500172,2.6813511249999906
0.6,FlashSVD-v1.5,14.043,326.823974609375,340.0,32.0,183.0,172.0,3.6702595625001204,7.277392187498403
0.7,StaticCache,43.815,94.90042114257812,1659.0,0.0,167.0,434.0,9.531573812499937,2.2295144999998446
0.7,DenseKVCacheBaseline,38.07,73.90234375,1206.0,0.0,199.0,402.0,6.950128000000099,2.687358437500079
0.7,FlashSVD-v1.5,15.85,361.0302429199219,340.0,32.0,183.0,172.0,3.7918298749992028,9.896736375002916
0.8,StaticCache,45.261,99.17237854003906,1659.0,0.0,167.0,434.0,10.042049500000033,2.2846077500001547
0.8,DenseKVCacheBaseline,37.39,73.36072540283203,1206.0,0.0,199.0,402.0,6.9350689375000965,2.6850861250000673
0.8,FlashSVD-v1.5,17.574,323.99761962890625,340.0,32.0,183.0,172.0,3.7522326874981564,11.040174187500938
